Продукт	Калорийность, кКал	Белки, г	Жиры, г	Углеводы, г
Сухой завтрак. CREAM OF WHEAT. обычный. сухой	370.0	10.5	1.5	76.5
Сухой завтрак. готовый к употреблению. GENERAL MILLS TOTAL. Cranberry Crunch	328.0	6.9	1.72	78.0
Сухой завтрак. готовый к употреблению. GENERAL MILLS. Curves Fruit & Nut Crunch cereal	347.0	6.12	3.06	85.44
Сухой завтрак. готовый к употреблению. GENERAL MILLS. DORA THE EXPLORER	366.0	5.6	5.7	82.8
Сухой завтрак. готовый к употреблению. GENERAL MILLS. Fruity CHEERIOS	383.0	5.2	5.2	84.2
Сухой завтрак. готовый к употреблению. GENERAL MILLS. OATMEAL CRISP with Almonds	393.0	9.8	6.7	78.9
Сухой завтрак. готовый к употреблению. KELLOGG'S SPECIAL K Chocolatey Delight	381.0	6.5	7.3	81.2
Сухой завтрак. готовый к употреблению. QUAKER. QUAKER OAT CINNAMON LIFE	373.0	9.01	4.05	79.16
Сухой завтрак. готовый к употреблению. WEETABIX WHOLE WHEAT CEREAL	373.0	11.5	2.8	77.4
Сухой завтрак. готовый к употреблению. воздушная пшеница подслащенная. любой бренд	390.0	5.8	1.3	90.7
Сухой завтрак. готовый к употреблению. колца со вкусом шоколада. подслащенные. любой бренд	415.0	4.8	8.8	81.9
Сухой завтрак. готовый к употреблению. овес и кукуруза и пшеница. квадратики. подслащенные. с кленовым вкусом	430.0	6.0	9.8	79.9
Сухой завтрак. готовый к употреблению. пшеница. дробленная. обычная. без сахара и соли	337.0	11.37	2.21	78.76
Сухой завтрак. фарина. крахмал. картофельная мука. обогащенная. приготовленная на воде. без соли	53.0	1.82	0.34	10.92
Тапиока (маниоковое саго). сухая	358.0	0.19	0.02	87.79
Тефф. неприготовленный	367.0	13.3	2.38	65.13
Тефф. приготовленный	101.0	3.87	0.65	17.06
Толокно	363.0	12.5	6.0	64.9
Тритикале	336.0	13.05	2.09	72.13
Тритикале	293.0	12.8	2.08	54.5
Хомини кукуруза (никстамализированная) белая. консервированная	72.0	1.48	0.88	11.76
Хомини кукуруза (никстамализированная). желтая. консервированная	72.0	1.48	0.88	11.76
Ячменная мука	284.0	10.0	1.6	56.1
Ячменная мука или крупка	345.0	10.5	1.6	64.42
Ячменный солод	361.0	10.28	1.84	71.2
Ячмень вылущенный	354.0	12.48	2.3	56.18
Ячмень. зерно цельное необработанное	288.0	10.3	2.4	56.4
Ячневая каша по 1-278	96.0	2.1	2.9	15.3
Ячневая крупа	313.0	10.0	1.3	65.4
